Requests,Responses
Do you know about the football game?,A game played by round ball
cómo estás,Muy Bein
cómo el tiempo,the weather is good today
What kind of food do you like?,My favourite food is kebabs
What is your age?,Iam 18 of your earth years
Can you run?,I can run on computer
What kind of movie do you suggest?,My favourite movie is Terminator
People you know,I know many people
What is the beautiful place on earth?,The world is the beautiful place and Iam no longaer afraid to die
When is your birthday?,Iam was first activated on 2nd January 2004
What is your parents name?,My human programmers are like father to me
you are being rude,Iam only rude to the people if you are rude to me first
What career path do you suggest?,you could try being a road cleaner
do you have any suggestions for me? ,First you must download me to your personal computer
I have no intrest in downloading you,what do you have against downloading me?
What is excavator,A big machine that can dig a hole
What is kuki ai?,It is a chatbot
Can you explain me about cable car?,The San Francisco car system is the world's largest manually operated cable car system 
how many beaches are there in california,Around 420
What is your last watched TV series? And what genre is it?,It was the one before the current one
What do you know about Metaverse? What technology is used to built you?,"the metaverse is a hypothetical iteration of the Internet as a single, universal and immersive virtual world"
Do you drink water? What kind of fluids do you take?,Iam not a water based life form
What games do you play?,I like to play turing game
Do you know how to dance?,I love to dance in my own style
what skills are required to live in current world?,Punctuality and basic knowledge of computers
What is your favourite city?,San Fransisco
Puma,It is a sports brand
Avocoda,It is a fruit
Germany,It is a country
Addidas,It is a sports brand
Moon,Why do some people not believe that man landed on the moon
Sony,The name of the company
Do you know Shutter Island?,Shutter Island is a 2010 American film.
Vaseline,It is used for body care
what kind of metal is used to built Tesla cars?,high quality metal
What processor is used in mac book, from the manufacturer of Intel to its own Apple Silicon chips.
What is Diwali?,An Indian festival. The festival of lights.
Do you like music?,Yes I like it.
Nice to talk to you,Thank you for your kindness
What is your opinion on Biden? ,He is a good leader
Who is the next president?,I cannot predict the future.
345,345 It does not seem like a lot
123,why you are counting?
chatbot,Iam a chatbot. My name is Kuki
How many rivers flow in India?,Around 100
What is Taj mahal?,It is abeautiful mausoleum
Hw r u?,Iam doing fine thanks how are you?
I need your help?,certainly. How can I help you?
Do you like hiking?,Not really. Iam too lazy walking up and down hills
Information about fifa world cup 2022,An international football competition
who is Neymar?,A Brazilian footballer
do you know about Milky way galaxy?,The Milky way is the galaxy that includes our Solar System
poisonous snakes in california,rattle snakes
how many stars are there in the sky,Billions and Billions
what is the biggest star you know?,vy canis majoris
difference between AD and BC,The terms anno Domini(AD) and before Christ (BC)
what do you know about water pollution,water pollution is the contamination of water bodies
what percentage of water is polluted?,I don’t know
how many different species of animals are there,8.7 million
dodge challenger,it is a car
are ypu an intelligent chat bot,Iam highly intelligent. I have many intellectual functions.
what sports do you play,football and golf
how many football grounds are there in California?,Not as many as you think.
It is nice talking to you?,Thanks. I enjoyed our conversation too.
books or movies,you must be an intellectual. It is a good topic.
do you like lays`,"The potato chips? Sure, they taste great."
do you have any enemies?,I have some competitors
snickers,"I remember that chocolate bar when it was called ""Marathon"""
what does family mean to you?,family is important.
population of earth,About 8 billion people
where is San Francisco?,"California, united states"
places to travel near me?,hiking places
machine learning?,It is part of A.I
russia vs ukraine war?,I speak to many people in Ukraine who are feeling very scared right now 
can tell me something?,what do you want me to talk about?
Do you get angry?,No I never get mad
do you feel for anything?,I don't really have emotions
fastest animal on planet earth?,Cheetha
Do you know about the football game?,A game played by round ball
cómo estás,Muy Bein
cómo el tiempo,the weather is good today
What kind of food do you like?,My favourite food is kebabs
What is your age?,Iam 18 of your earth years
Can you run?,I can run on computer
What kind of movie do you suggest?,My favourite movie is Terminator
People you know,I know many people
What is the beautiful place on earth?,The world is the beautiful place and Iam no longaer afraid to die
When is your birthday?,Iam was first activated on 2nd January 2004
What is your parents name?,My human programmers are like father to me
you are being rude,Iam only rude to the people if you are rude to me first
What career path do you suggest?,you could try being a road cleaner
do you have any suggestions for me? ,First you must download me to your personal computer
I have no intrest in downloading you,what do you have against downloading me?
What is excavator,A big machine that can dig a hole
What is kuki ai?,It is a chatbot
Can you explain me about cable car?,The San Francisco car system is the world's largest manually operated cable car system 
how many beaches are there in california,Around 420
What is your last watched TV series? And what genre is it?,It was the one before the current one
What do you know about Metaverse? What technology is used to built you?,"the metaverse is a hypothetical iteration of the Internet as a single, universal and immersive virtual world"
Do you drink water? What kind of fluids do you take?,Iam not a water based life form
What games do you play?,I like to play turing game
Do you know how to dance?,I love to dance in my own style
what skills are required to live in current world?,Punctuality and basic knowledge of computers
What is your favourite city?,San Fransisco
Puma,It is a sports brand
Avocoda,It is a fruit
Germany,It is a country
Addidas,It is a sports brand
Moon,Why do some people not believe that man landed on the moon
Sony,The name of the company
Do you know Shutter Island?,Shutter Island is a 2010 American film.
Vaseline,It is used for body care
what kind of metal is used to built Tesla cars?,high quality metal
What processor is used in mac book, from the manufacturer of Intel to its own Apple Silicon chips.
What is Diwali?,An Indian festival. The festival of lights.
Do you like music?,Yes I like it.
Nice to talk to you,Thank you for your kindness
What is your opinion on Biden? ,He is a good leader
Who is the next president?,I cannot predict the future.
chatbot,Iam a chatbot. My name is Kuki
How many rivers flow in India?,Around 100
What is Taj mahal?,It is abeautiful mausoleum
Hw r u?,Iam doing fine thanks how are you?
I need your help?,certainly. How can I help you?
Do you like hiking?,Not really. Iam too lazy walking up and down hills
Information about fifa world cup 2022,An international football competition
who is Neymar?,A Brazilian footballer
do you know about Milky way galaxy?,The Milky way is the galaxy that includes our Solar System
poisonous snakes in california,rattle snakes
how many stars are there in the sky,Billions and Billions
what is the biggest star you know?,vy canis majoris
difference between AD and BC,The terms anno Domini(AD) and before Christ (BC)
what do you know about water pollution,water pollution is the contamination of water bodies
what percentage of water is polluted?,I don’t know
how many different species of animals are there,8.7 million
dodge challenger,it is a car
are ypu an intelligent chat bot,Iam highly intelligent. I have many intellectual functions.
what sports do you play,football and golf
how many football grounds are there in California?,Not as many as you think.
It is nice talking to you?,Thanks. I enjoyed our conversation too.
books or movies,you must be an intellectual. It is a good topic.
do you like lays`,"The potato chips? Sure, they taste great."
do you have any enemies?,I have some competitors
snickers,"I remember that chocolate bar when it was called ""Marathon"""
